Before They Are Hanged,Joe Abercrombie
The Incrementalists,Stephen Brust and Skyler White
Chimes at Midnight: An October Daye Novel,Seanan McGuire
Star Wars: Heir to the Empire,Timothy Zahn
"Ghost in the Wires: My Adventures as the World’s Most Wanted Hacker, ",Kevin Mitnick and William L. Simon
Between Two Thorns: The Split Worlds Series Book 1,Emma Newman
"The Killing Moon: Dreamblood, Book 1",N.K. Jemisin
Shambling Guide to New York City,"Mur Lafferty, and narrated by Mur, too."
"Vortex: Insignia, Book 2",S.J. Kincaid
The Gift of Fear: And Other Survival Signals That Protect Us From Violence,Gavin de Becker
The Martian,Andy Weir
Valour and Vanity,"Mary Robinette Kowal, and narrated by Mary, too!"
Monstrous Regiment,Terry Pratchett
Jonathan Strange and Mr. Norrell,Susanna Clarke
The Fall of the Kings,Ellen Kushner and Delia Sherman
Extraordinary Zoology: Tales from the Monsternomicon,Howard Tayler
The Hero’s Guide to Saving Your Kingdom,Christopher Healy and Todd Harris
The Butcher of Khardov: The Warcaster Chronicles Volume 2,Dan Wells
The Republic of Thieves,Scott Lynch
"I, Robot",Isaac Asimov
Even White Trash Zombies Get the Blues,Diana Rowland
Rip-Off!," Written by: John Scalzi, Jack Campbell, Mike Resnick, Allen Steele, Lavie Tidhar, Nancy Kress, Gardner Dozois (editor)
Narrated by: Wil Wheaton, Scott Brick, Christian Rummel, Jonathan Davis, Stefan Rudnicki, L. J. Ganser, Khristine Hvam"
The Firebird,Susanna Kearsley
The Blue Sword,Robin McKinley
Attack the Geek,Michael R. Underwood
The City & The City,China Mieville
Unfettered: Tales by Masters of Fantasy,", Written by: Terry Brooks, Patrick Rothfuss, Robert Jordan, Jacqueline Carey, R.A. Salvatore, Naomi Novik, Peter V. Brett, Shawn Speakman (editor)
Narrated by: Peter Ganim, Marc Vietor, Bronson Pinchot, Jay Snyder"
The Night Circus,Erin Morgenstern
Spellcaster,Claudia Gray
The Goblin Emperor,Katherine Addison
The Hum and the Shiver,Alex Bledsoe
"Dreams of Gods and Monsters: Daughter of Smoke and Bone, Book 3",Laini Taylor
The Saint: The Original Sinners Book 5,Tiffany Reisz
The Ghosts of Belfast,"Stuart Neville,  narrated by Gerard Doyle"
"Four Years, Five Seasons",Peter S. Beagle
The Name of the Wind,Patrick Rothfuss
The Fairy-Tale Detectives: The Sisters Grimm,Michael Buckley
The Rook,Daniel O’Malley
Ruins,Dan Wells
Angelmaker,Nick Harkaway
A Night of Blacker Darkness: Being the Memoir of Frederick Whithers As Edited by Cecil G. Bagsworth III,Dan Wells
Legion: Skin Deep,Brandon Sanderson
Consider the Fork: A History of How We Cook and Eat,Bee Wilson
Lock In,John Scalzi
Shipstar,Gregory Benford and Larry Niven
Maplecroft,Cherie Priest
City of Stairs,Robert Jackson Bennett
Wolf Hall,Hilary Mantel
Three Parts Dead,Max Gladstone
The Splendour Falls,Susanna Kearsley
Furies of Calderon,Jim Butcher
Ancillary Justice,Anne Leckie
The Man in the High Castle,"Phillip K. Dick, which was available on Audible when we recorded this episode, but which is NOT available as of this write-up."
The Hero’s Guide to Storming the Castle,Christopher Healy
The Immortal Life of Henrietta Lacks,Rebecca Skloot
"Words of Radiance, ",Brandon Sanderson
The Three-Body Problem,Ken Liu
The Rebirths of Tao,"Wesley Chu, isn’t available yet on Audible, but the first book in the trilogy, The Lives of Tao is."
The Golem and the Jinni,Helen Wecker
The Shepherdess of Sienna: A Novel of Renaissance Tuscany,Linda Lafferty
"Stormdancer: The Lotus War, Book One",Jay Kristoff
A Spy in the House: The Agency 1,Y.S. Lee
"The Autumn Republic, by Brian McClellan",
A Wilder Rose,Susan Wittig Albert
Of Noble Family,Mary Robinette Kowal
The Unhappening of Genesis Lee,Shallee McArthur
Uprooted,Naomi Novik
The Devil’s Only Friend,Dan Wells
Perfume: The Story of a Murderer,Patrick Süskind
The Winner’s Curse,Marie Rutkowski
"The Edge of the World: Terra Incognita, Book 1",Kevin J. Anderson
The Summer Prince,Alaya Dawn Johnson
Time Salvager,Wesley Chu
Seveneves: A Novel,Neal Stephenson
A Natural History of Dragons: A Memoir by Lady Trent,Marie Brennan
"Nothing to Envy: Ordinary Lives in North Korea, ",Barbara Demick
I Am Princess X,Cherie Priest
A Darker Shade of Magic,V.E. Schwab
Clockwork Angels,Kevin J. Anderson
Sister Mine,Nalo Hopkinson
The Merchant Adventurer,Patrick E. McLean
Shadows of Self,Brandon Sanderson
The Freedom Maze,Delia Sherman
Off To Be The Wizard,Scott Meyer
The Mirror Empire: Worldbreaker Saga,Kameron Hurley
Swordspoint: A Melodrama of Manners,Ellen Kushner
Blindsight,Peter Watts
"Half-Resurrection Blues: Bone Street Rumba, Book 1",Daniel José Older.
"The Providence of Fire: Chronicles of the Unhewn Throne, book 2",Brian Staveley
Mystic,Jason Denzel
The Cloud Roads,Martha Wells
Lost Stars,Claudia Gray
My Name is Red,Orhan Pamuk
Word Puppets,Mary Robinette Kowal
Sorcerer to the Crown,Zen Cho
Perdido Street Station,John Lee
The Wright Brothers,David McCullough
Court of Fives,"Georgia Dolenz, and Prudence, by Gail Carriger"
Bands of Mourning,Brandon Sanderson
Shadowguard,Gama Ray Martinez
Dead Men Don’t Cry,Nancy Fulda
Strangers,Michaelbrent Collings
The Watchmaker of Filigree Street,Natasha Pulley
The Goose Girl,Shannon Hale
Leviathan Wakes,James S.A. Corey
Solar Express,"L.E. Modesitt, Jr"
The Shootout Solution: Genrenauts Episode 1,Michael R. Underwood
Alif the Unseen,G. Willow Wilson
Residue,Steve Diamond
Bluescreen,Dan Wells
Swan Song,Robert McCammon
I Am Legend,Richard Matheson
"Women Destroy Science Fiction!: Lightspeed Magazine Special Issue, ",Christie Yant
Mrs Roosevelt’s Confidante,Susan Elijah McNeil
Mrs. Frisbee and the Rats of NIMH,Robert O’Brian
Thud,Terry Pratchett
Patriot Games,Tom Clancy
"“You’ll Surely Drown Here If You Stay,”","Alyssa Wong, which is available to read here."
Planetfall,Emma Newman
Javelin Rain,Myke Cole
The City of the Future,Trina Marie Phillips
Death by Cliché,Robert J. Defendi
Ghost Talkers,Mary Robinette Kowal
Force Multiplication: Schlock Mercenary Book 12,"Howard Tayler, Travis Walton, Sandra Tayler, and Natalie Barahona, with an introduction by Mary Robinette Kowal"
Beyond Heaving Bosoms: The Smart Bitches Guide to Romance Novels,Sarah Wendell and Candy Tan
Child of the Wilde,Gama Martinez
And I Darken,Kiersten White
California Bones,Greg VanEekhout
Ink and Ashes, Valynne E. Maetani
he Starlit Wood: New Fairy Tales,"Navah Wolfe (available October 18th, 2016. No audio version available yet.)"
Hex,Thomas Oldehuveldt
Ghost Summer,"Tananarive Due, which you can find in the  collection."
The Thin Executioner,Darren Shan
The Voices of the Martyrs,Maurice Broaddus (audiobook not yet available)
Extreme Makeover,Dan Wells
Everfair,Nisi Shawl
Twelve Days,Steven Barnes
Gift Child,Janci Patterson
Karen Memory,Elizabeth Bear
Uncanny Magazine,Lynne M. Thomas and Michael Damien Thomas
The Shootout Solution (Genrenauts Episode 1),Michael R. Underwood
Heroine Complex,Sarah Kuhn
A Million Worlds With You,Claudia Gray
The Star-Touched Queen,Roshani Chokshi
Perennial,Mary Anne Mohanraj
In the Cube,"David Alexander Smith (out of print, but available used)"
Absolute Trust,Piper J. Drake
Midnight’s Children,Salman Rushdie (print and ebook available here)
Amberlough,Lara Elena Donnelly
"Ones and Zeroes: Mirador, Book 2",Dan Wells
"The Inklings: C.S. Lewis, J.R.R. Tolkien, and Their Friends",Humphrey Carpenter
Sins of Empire,Brian McCellan
How to Recognize a Demon Has Become Your Friend,Linda Addison
The Devil’s Daughter: Hidden Sins Book 1,Katee Robert
Tea & Jeopardy: A GeekPlanetOnline Community Podcast,Emma Newman and Peter Newman
Jed and the Junkyard War,Steven Bohls
The Complex,Brian Keene
"Wayward, Volume 1","Jim Zub (writer),  Steven Cummings (Illustrator), John Rauch (Illustrator), and Tamra Bonvillain (Illustrator)"
The Row,J.R. Johannsen
Hardcore History," (podcast), with Dan Carlin (note: this podcast has a rolling paywall. The sooner you subscribe, the more you’ll have access to when you get around to listening.)"
City of Miracles,Robert Jackson Bennett
The Buried Life,Carrie Patel
Nothing Left to Lose,Dan Wells
